name,phone_type,phone_number,website
DANIEL ALEMU BELAY,Mobile,+251 911 662536,
ETALE BUSINESS PLC,Phone,+251 113 714905,
ETALE BUSINESS PLC,Mobile,+251 911 642537,
ALEMAYEHU DERESSE,Phone,+251 111 567310,
ALEMAYEHU DERESSE,Mobile,+251 911 208237,
KOONFEYEKUN INTERNATIONAL BUSINESS P.L.C,Phone,+251 116 620368,
KOONFEYEKUN INTERNATIONAL BUSINESS P.L.C,Mobile,+251 911 731785,
SIDRAM IMPORT & EXPORT ENTERPRISE,Phone,+251 111 563506,
SIDRAM IMPORT & EXPORT ENTERPRISE,Mobile,+251 911 245495,
AL-NUJUM GENERAL BUSINESS,Phone,+251 116 189430,
AL-NUJUM GENERAL BUSINESS,Mobile,+251 911 202403 |  +251 911 202404,
DIGAFIE SHENKUTE W/MARIAM,Phone,+251 11 1572522,
MUSTEFA & SONS PLC,Phone,+251 112 130891,
MUSTEFA & SONS PLC,Mobile,+251 911 244562,
ALENE ADMAS TEGEGNE,Phone,+251 111 555700,
ALENE ADMAS TEGEGNE,Mobile,+251 911 220099,
SULTAN GUREDIN HUSSEN,Mobile,+251 91 1765458,
YIRGALEM TAGEL IMPORT EXPORT,Phone,+251 114 667726,
YIRGALEM TAGEL IMPORT EXPORT,Mobile,+251 911 608112,
HAFIZ MOHAMMED ALI,Phone,+251 111 566346,
HAFIZ MOHAMMED ALI,Mobile,+251 911 220166,
EGMAK TECHNICAL TRADING,Phone,+251 11 5515250/5534278,
ABDU MOHAMMED AHMED SHERIF,Phone,+251 11 6456849,
ABDU MOHAMMED AHMED SHERIF,Mobile,+251 91 1638032,
FISH PRODUCTION & MARKETING ENTERPRISE,Phone,+251 11 4420924/4400341/4425334,
FISH PRODUCTION & MARKETING ENTERPRISE,Mobile,+251 91 1639460/1221712,
Habtamu & Demilie Import & Extport,Mobile,+251 913 353580,
Minaye PLC,Phone,+251 113 728667-69,http://www.deluxefurniture-et.com
Minaye PLC,Phone 2,+251 113  691007-09,http://www.deluxefurniture-et.com
Minaye PLC,Phone 3,+251 113 725657,http://www.deluxefurniture-et.com
HARNESS IMPORT & EXPORT,Mobile,+251 911 196251 | +251 910 035578,
MESERET ASSEFA,Phone,+251 11 1111312,
MESERET ASSEFA,Mobile,+251 91 1129106,
D.H.S TERANSIT PLC,Phone,+251 116 620277,
D.H.S TERANSIT PLC,Mobile,+251 911 202573,
Hadia Enterprise Holetta Roses PLC,Phone,+251 116 513365 |  +251 116 513969,
Hadia Enterprise Holetta Roses PLC,Mobile,+251 911 201230  |  +251 911 502157,
OUMER ISMAEL SHERIFA,Phone,+251 118 501296,
OUMER ISMAEL SHERIFA,Mobile,+251 911 648949,
SOLOMON BEREKETAB ZEMICHAEL,Phone,+251 116 614265,
SOLOMON BEREKETAB ZEMICHAEL,Mobile,+251 920 006984,
MAM TRADING PVT.LId. COMPANY,Phone,+251 114 402080,
Derba  Flower,Phone,+251 115 540368,
SPIRIT PLC,Phone,+251 11 6521210,
SPIRIT PLC,Mobile,+251 91 1507225,
Red Fox,Phone,+251 221 129250,
DUET ENTERPRIZE,Phone,+251 11 5533237/5534696/5534699,
DUET ENTERPRIZE,Mobile,+251 91 1200593,
Awassa Green Woods PLC,Phone,+251 115 528900 | +251  462 210045,
ZELALEM EMBAYE TESFAHUNEGN,Mobile,+251 91 1079783,
Seit Agro PLC,Phone,+251 115 533684,
Super Arsity Flower PLC,Phone,+251 115 533237 |  +251 115 534696/99,
Super Arsity Flower PLC,Mobile,+251 911 141876,
Super Arsitte,Phone,+251 115 534696 | +251 115 534699,
MENAGESHA FLOWERS PLC,Phone,+251 11 5523581//80/5512033,
MENAGESHA FLOWERS PLC,Mobile,+251 91 1502121,
WHITE FLOWER GENERAL TREDING PLC,Phone,+251 11 4165317/4671015,
WHITE FLOWER GENERAL TREDING PLC,Mobile,+251 91 1240844/1945051,
MOHAMED ALI MULAW,Phone,+251 112 753502,
MOHAMED ALI MULAW,Mobile,+251 911 249185,
Green Forests Export and Import,Mobile,+251 911 257997,
Liban Impex,Phone,+251 113 69 20 78,https://libanimpex.com/
Liban Impex,Phone 2,+251 112 31 10 05,https://libanimpex.com/
Liban Impex,Mobile,+251 902 30 75 75,https://libanimpex.com/
Liban Impex,Mobile 2,+251 920 33 00 22,https://libanimpex.com/
MINAYE FLOWERS PLC,Phone,+251 113 728667,
ORMIA WONDERS PLC,Phone,+251 116 181222,
ALEMAYEHU ZELEKE NIGUSSIE,Phone,+251 116 602806,
ALEMAYEHU ZELEKE NIGUSSIE,Mobile,+251 911 210784,
OMEGA FARMS PLC,Phone,+251 114 669273,
AMARD INDUSTRY PLC,Phone,+251 11 2754395,
AMARD INDUSTRY PLC,Mobile,+251 91 1433049,
BEAUTY GREEN PLC,Phone,+251 115 544601,
TINAW BUSINESS S.CO.,Phone,+251 113 720110,
ERMIASE BIRU BADIE,Phone,+251 11 5521600,
ERMIASE BIRU BADIE,Mobile,+251 91 1209888,
SELAM FLOWER PLC,Phone,+251 115 502989,
DIRE HIGHLAND FLOWERS PLC,Phone,+251 115 514793,
NUREDIN HASSEN KENFELA,Phone,+251 11 4197721/22,
NUREDIN HASSEN KENFELA,Mobile,+251 91 1221155,
Gurmed Fruit & Veg. Exporter Service Giving PLC,Mobile,+251 915 730883,
Diamond General Services,Phone,+251 111  517398,
BLEN FLOWERS PLC,Phone,+251 116 627299,
TERRA PLC,Phone,+251 11 4654321,
Wanza Furnishings Industry PLC,Phone,+251 115 51 79 99,http://WWW.midroc-ethitechgroup.com
Wanza Furnishings Industry PLC,Phone 2,+251 115 53 18 77,http://WWW.midroc-ethitechgroup.com
ETHIO-DUCHE FURNITURE PLC,Phone,+251 114 334769,
TRIO CRAFT PLC,Phone,+251 114 400752,
TRIO CRAFT PLC,Mobile,+251 911 641949  |   +251 911 679359  | +251 911 822875,
Legesse Zeru Import and Export,Phone,+251-9-300426,
Nile Industrial & Commercial PLC,Phone,+251 114 665452,
Nile Industrial & Commercial PLC,Mobile,+251 911 207467,
Yenebeb Spong Spring Sope,Phone,+251 11 65  44593,
Quaqura Gemstones,Phone,+251 118 278949,
Quaqura Gemstones,Mobile,+ 251 920 052105,
Quaqura Gemstones,Mobile 2,+ 251 912 607939,
ELMEC ENGINEERING PLC,Phone,+251 11 4667556/4667558/4667559,
ELMEC ENGINEERING PLC,Mobile,+251 91 1201165,
ETHIO-AUSTRIA IMP-EXP PLC,Phone,+251 11 5736114,
ETHIO-AUSTRIA IMP-EXP PLC,Mobile,+251 91 1403555,
ASRAT MAMO G/MARIAM,Phone,+251 11 6625956,
ASRAT MAMO G/MARIAM,Mobile,+251 11 1697261,
AYALKEM YABSERA GENERAL TRADING PLC,Phone,+251 11 5544570,
AYALKEM YABSERA GENERAL TRADING PLC,Mobile,+251 91 1248243,
SAMRUTH PLC,Mobile,+251 91 1211448,
ALEM KEFYALEW WONDIMAGEGN,Mobile,+251 91 1465335,
BIRUK ASHINE,Mobile,+251 91 1218361,
KEBEDE BASHA GUDU,Phone,+251 11 4666671,
ERMIYAS GOBEZE BIRARA,Phone,+251 116 292664 | +251 116 628040,
ERMIYAS GOBEZE BIRARA,Mobile,+251 912 200989,
Bizcom General Business PLC,Phone,+251 115 547571 | +251 111 551472,
Bizcom General Business PLC,Mobile,+251 911 602563,
3T IMPORT EXPORT,Phone,+251 11 2594630,
KRYSTA RESOURCES TRADING PLC,Mobile,+251929112022,
KRYSTA RESOURCES TRADING PLC,Mobile 2,+251911216144,
Seven Resources Mining Processing and Export PLC,Phone,+251 913 833627,
Eden General Export,Mobile,+251-911-600569/ 921 605729,
K & S PETROLEUM & MINING EXPLORATION PLC,Phone,+251 11 4401868/69,
TEFERI GOBEZIE BIRARA,Mobile,+251 11 1657962,
FITSUM INTERNATIONAL NATURAL HEALTH HEADING CENTER,Phone,+251 11 5512933/5512877,
FITSUM INTERNATIONAL NATURAL HEALTH HEADING CENTER,Mobile,+251 91 1246404,
AGAZ General Trading P.L.C/ Me Ethiopia Tour and Travel,Phone,+251 11 6467185,http://agaztrading.com
AGAZ General Trading P.L.C/ Me Ethiopia Tour and Travel,Phone 2,+251 11 6467579,http://agaztrading.com
AGAZ General Trading P.L.C/ Me Ethiopia Tour and Travel,Mobile,+251 91 1201927,http://agaztrading.com
AGAZ General Trading P.L.C/ Me Ethiopia Tour and Travel,Mobile 2,+251 91 1201168,http://agaztrading.com
AGAZ General Trading P.L.C/ Me Ethiopia Tour and Travel,Mobile 3,+251 91 3247847,http://agaztrading.com
ELDES ENGINEERING PLC,Phone,+251 118 26 90 67,
ELDES ENGINEERING PLC,Mobile,+251 911 22 35 36,
ELDES ENGINEERING PLC,Mobile 2,+251 911 75 86 09,
ELDES ENGINEERING PLC,Mobile 3,+2511 930 00 02 22,
GELAYEA DENEKE W/MICHAEL,Phone,+251 11 2752869/2792513,
GELAYEA DENEKE W/MICHAEL,Mobile,+251 91 1230753,
ABDUREHMAN REDI ORMAGO,Mobile,+251 91 1890142,
AL ADI ARHA TRADING PLC,Phone,+251 116 628256,
AL ADI ARHA TRADING PLC,Mobile,+251 911 223637 | +251 911 202304,
YIMARG GENERAL TRADING,Phone,5510612,
YIMARG GENERAL TRADING,Mobile,1200341,
REBECCA ADMASSU ZELEKE,Phone,+251 11 4653503,
REBECCA ADMASSU ZELEKE,Mobile,+25 91 1415554,
ABDELLA YIMER AREGAW,Mobile,+251 91 1205964,
ABDERKADER MOHAMED MOHAMED,Phone,+251 11 2703823,
ABDISHIDE ADEN DERY,Phone,+251 116 183058 | +251 116 638492,
ABDISHIDE ADEN DERY,Mobile,+251 111 208441,
NASIR MARUF ABDULKADIR,Phone,+251 11 6625415,
Davica World Wide Import & Export,Phone,+251 11 6477262,
Davica World Wide Import & Export,Mobile,+2511 91 2210915,
MUSTEFA AWEL MOHAMMED,Phone,+251 11 2780291,
MUSTEFA AWEL MOHAMMED,Mobile,+251 91 1602595,
SHAFI IBRAHIM MOHAMMED,Phone,+251 11 2752199,
SHAFI IBRAHIM MOHAMMED,Mobile,+251 91 1611770,
AHED GENERAL BUSINESS PLC,Mobile,+251 911 219710,
ABDURAZAK REDI ABDULSELAM,Phone,+251 11 4917779,
ABDURAZAK REDI ABDULSELAM,Mobile,+251 91 4166784,
RAHEL MOHAMMED FEYESSA,Phone,+251 11 4161376/4667216,
RAHEL MOHAMMED FEYESSA,Mobile,+251 91 1202022,
MARTA ASRAT SEMMU,Phone,+251 11 4653914,
MARTA ASRAT SEMMU,Mobile,+251 91 1231599,
YOHANNIS NEGASH G/YOHANNIS,Phone,+251 11 5521050,
YOHANNIS NEGASH G/YOHANNIS,Mobile,+251 91 1118322,
TAMERU MULUNEH,Phone,+251 11 1557963,
TAMERU MULUNEH,Mobile,+251 91 1227624,
SALEK ALBERTO VITORIO,Phone,+251 11 1114721/1563696/5529261,
RINA INTERNATIONAL TRADING PLC,Phone,+251 11 4669971/6180698,
RINA INTERNATIONAL TRADING PLC,Mobile,+251 91 1200787/1209089,
NEJAT BERHAN MOHAMMED,Phone,+251 11 6470408,
NEJAT BERHAN MOHAMMED,Mobile,+251 91 1613205,
KONIMIX TRADING,Phone,+251 11 6622735,
KONIMIX TRADING,Mobile,+251 91 1209236,
YETMWORK ASSEFA FANTAYE,Phone,+251 11 6624331,
YETMWORK ASSEFA FANTAYE,Mobile,+251 91 1217903,
GE.DE.DO.SE GENERAL EXPORT & IMPORT,Phone,+251 11 5155823,
GE.DE.DO.SE GENERAL EXPORT & IMPORT,Mobile,+251 91 1660859,
KIDA PRECIOUS MINERALS  PRODUCTION EXPORTING PLC,Phone,+251 118 480080,
KIDA PRECIOUS MINERALS  PRODUCTION EXPORTING PLC,Mobile,+251 911 611798,
KIDA PRECIOUS MINERALS  PRODUCTION EXPORTING PLC,Mobile 2,+251 911 400315,
NEGASH MEADEN EXPORT PLC,Phone,+251 114 442456,
NEGASH MEADEN EXPORT PLC,Mobile,+251 911 869209,
DEMASH INTERNATIONAL BUSINESS,Phone,+251 111 231180,
DEMASH INTERNATIONAL BUSINESS,Mobile,+251 911 991899,
DEMASH INTERNATIONAL BUSINESS,Mobile 2,+251 911 889996,
NIGSTY GIDEY GEBREMICHAELE,Mobile,+251 911 363966,
YEMANE ZEBELLO ABRHA,Phone,+251 11 4670383,
YEMANE ZEBELLO ABRHA,Mobile,+251 91 1206307,
"YEGNA SEW GEMSTON & GOLD GENERAL EXPORT, ENTERPRISE",Phone,+251 11 1567215,
"YEGNA SEW GEMSTON & GOLD GENERAL EXPORT, ENTERPRISE",Mobile,+251 91 1815940,
SELAMAWIT KIFLEMARIAM HAILU,Phone,+251 11 3717657,
SELAMAWIT KIFLEMARIAM HAILU,Mobile,+251 11 1699336,
YONAS G/GIORGIS G/MARIAM,Phone,+251 116 613097,
YONAS G/GIORGIS G/MARIAM,Mobile,+251 911 209576,
F.H.Y. INTERNATIONAL PLC,Mobile,+251 91 1233664,
BANTE TASISA NEGEWO,Phone,+251 11 1552699,
BANTE TASISA NEGEWO,Mobile,+251 91 1217683,
ABEBE KASSA ALEMU,Phone,+251 11 1562533,
ABEBE KASSA ALEMU,Mobile,+251 91 1219327,
ATAKILT GENERAL IMPORT & EXPORT,Mobile,+251 91 1217911,
KALID ABDELLA KONTANO,Phone,+251 11 4408897,
KALID ABDELLA KONTANO,Mobile,+251 91 3489107,
WONDWOSSUN HAILU NEGUSSAE,Phone,+251 114 401046,
WONDWOSSUN HAILU NEGUSSAE,Mobile,+251 111 441328,
ZERAY DESTA BAYRUW,Phone,+251 11 6633453,
ZERAY DESTA BAYRUW,Mobile,+251 91 1249336,
TESHOME HAILE BESHAH  ENTERPRISE,Mobile,+251 911 192463,
MIDROC GOLD MINE PLC,Phone,+251 11 3728218/3728219,
RIFT VALLEY GEMSTONES IMPORT & EXPORT,Phone,+251 11 5520889,
RIFT VALLEY GEMSTONES IMPORT & EXPORT,Mobile,+251 91 1621598/1930702,
Elizabeth Sahilu Export and Import,Mobile,+251 911 257997,
KIBCO TRADING,Phone,+251 116 620251,
KIBCO TRADING,Mobile,+251 911 201255,
,Phone,+251 11 6613055/4161986/4667912,
,Mobile,+251 91 1220448,
5 CUPS PLC,Phone,+251 11 4432341/4422914,
5 CUPS PLC,Mobile,+251 91 1200123,
MARO INTERANTIONAL PLC,Phone,+251 11 3492607/1116694/95,
MARO INTERANTIONAL PLC,Mobile,+251 91 1637728,
SLANGE PLC,Phone,+2511564800,
SLANGE PLC,Mobile,+251 911 201851,
SLANGE PLC,Mobile 2,+251 911 486846,
EBRAHIM AHMED SALEBAN,Mobile,+251 910 633116,
MOHAMMED AHEMED ALI,Phone,+251 11 1564558,
MOHAMMED AHEMED ALI,Mobile,+251 91 1205588,
Beles P.L.C,Phone,+251 116 180838 | +251 116 180839,
Beles P.L.C,Mobile,+251 911 244524,
RAMIDUS TRADING & INDUSTRY PLC,Phone,+251 11 5530892,
RAMIDUS TRADING & INDUSTRY PLC,Mobile,+251 91 1211148,
LEUL BERHIE KAHSSAIE,Phone,+251 11 5530892,
LEUL BERHIE KAHSSAIE,Mobile,+251 91 1211148,
ADDIS ZENBABA PLC,Phone,+251 116 635481,
ADDIS ZENBABA PLC,Phone 2,+251 116 6636292,
ADDIS ZENBABA PLC,Mobile,+251 911 489698,
NATURAL GUM PROCESSING & MARKETING ENTRPRISE,Phone,+251 11 5527082/5527083/5538595,
NATURAL GUM PROCESSING & MARKETING ENTRPRISE,Mobile,+251 91 1207966,
NIGISTI KIDANU FIKADU,Phone,+251 11 6292729,
NIGISTI KIDANU FIKADU,Mobile,+251 91 1239453,
Pazion Cultural Development,Phone,+251 115 508710,
Pazion Cultural Development,Mobile,+251 911 212565,
T and H Designs,Mobile,+251 911 977486 | +251 913 472639,
Handicrafts of Ethiopia,Phone,+251 115 504982,
Handicrafts of Ethiopia,Mobile,+251 911 406559,
"Negist Ethiopia, General Import & Export",Phone,+251 113 728080,
"Negist Ethiopia, General Import & Export",Mobile,+251 911 216944 |  +251 911 208405,
Hanna Import Export,Phone,+251 116 260733,
Hanna Import Export,Mobile,+251 911 667044,
Adilla Crafts,Phone,+251  115  529999,
Adilla Crafts,Mobile,+251 911 600559,
ALMETA IMPEX PLC,Phone,+251 11 5534222,
ALMETA IMPEX PLC,Phone 2,+251 11 5515552,
ALMETA IMPEX PLC,Phone 3,+251 11 5515446,
ALMETA IMPEX PLC,Mobile,+251 91 1254641,
Gebsol International PLC,Phone,+251 115 530222,
Gebsol International PLC,Mobile,+251 911 202490,
TENAYE BEYENE TESFAEGZI,Phone,+251 11 4166251,
TENAYE BEYENE TESFAEGZI,Mobile,+251 91 1429113,
Melese Teka shoe Factory,Phone,+251 11 2751877,
ALISARHAN AHMED,Phone,+251 11 6185426,
ALISARHAN AHMED,Mobile,+251 91 3127912,
ETHIO LEATHER INDUSTRY PLC,Phone,+251 114 424726 | +251 114 432419,
WALLIA LEATHER PLC.,Phone,+251 11 4421212/4422367,
WALLIA LEATHER PLC.,Mobile,+251 91 1207331,
Genuine Leather Crafts PLC,Phone,+251 11 5531894,
Genuine Leather Crafts PLC,Mobile,+251 91 1217284,
Modern Zege Leather Garments,Phone,+251 115 157279,
Modern Zege Leather Garments,Mobile,+251 911 208767,
Berehe Assefa Shoe Factory,Phone,+251 111 223137,
Berehe Assefa Shoe Factory,Mobile,+251 911 117384,
GELAN TANNERY PLC,Phone,+251 11 1574701,
GELAN TANNERY PLC,Mobile,+251 91 1205562,
Ethio International Footwear,Phone,+251 116 612447 | +251 116 612475,
Ethio International Footwear,Mobile,+251 912 160106,
Combolcha Tannery S.C,Phone,+251 115 514075,
MESACO Global PLC,Phone,+251 111 568119,
MESACO Global PLC,Mobile,+251 911 212678,
Gellan Tannery PLC,Phone,+251 111 57470,
Gellan Tannery PLC,Mobile,+251 911 205562,
Habesha Tannery PLC,Mobile,+251 91 0013878,
ENDALE WONDIMU G/MARIAM,Mobile,+251 91 1243290,
ABT Tanner,Phone,+251 114 165302,
Taytu Trade and Industry PLC,Phone,+251 115 159850 | +251 115 159876,
Taytu Trade and Industry PLC,Mobile,+251 911 635644,
Desse Tannery,Phone,+251 11 5514075,
Jonzo Leather Garments,Phone,+251 11 6621508 | +251 11 6621509,
Jonzo Leather Garments,Mobile,+251 91 1204240,
REMEDAN YESUF ABDULAHI,Mobile,+251 91 1406969,
HASSEN ABDULKADIR ADEM,Phone,+251 11 2590190,
HASSEN ABDULKADIR ADEM,Mobile,+251 91 1663348,
WALID ABDULWAHID ABDURHMAN,Phone,+251 11 6545918,
WALID ABDULWAHID ABDURHMAN,Mobile,+251 91 7811323,
MARS PLC,Phone,+251 11 1551440/1550781/1550970,
MARS PLC,Mobile,+251 91 1204943,
LAKE TIRUNEH TEMESGEN,Phone,+251 11 1561180,
LAKE TIRUNEH TEMESGEN,Mobile,+251 91 1420462,
LEMI GOBU GUTEMA,Mobile,+251 91 1609942/1640960,
YIBELTALE ASHENAFI ABATE,Phone,+251 112 781313/2771126,
YIBELTALE ASHENAFI ABATE,Mobile,+.251 91 1205347,
UNITED ASSOCIATES PLC,Phone,+251 11 1562421,
UNITED ASSOCIATES PLC,Mobile,+251 91 1231699,
FEYNET TRADING PLC,Phone,+251 11 4390114/4396084,
FEYNET TRADING PLC,Mobile,+251 91 1400483,
SEAL-SERVER TRADING COMPANY,Phone,+251 11 3203627/3201270,
SEAL-SERVER TRADING COMPANY,Mobile,+251 91 1407464,
G & K PLC,Phone,+251 11 5154744/3483465,
G & K PLC,Mobile,+251 91 1638476,
KIDANEMARIAM KAHESAY,Phone,+251 11 5537663,
KIDANEMARIAM KAHESAY,Mobile,+251 91 1641736,
AWEKE MESFIN BEKELE,Phone,+251 11 6616649,
AWEKE MESFIN BEKELE,Mobile,+251 91 1456803,
Mesfin Fetene Leather Products | መስፍን ፈጠነ የቆዳ ውጤቶች,Mobile,+251 913 911182,
MERYAM YASSIN KEDIR,Phone,+251 11 1238954,
MERYAM YASSIN KEDIR,Mobile,+251 91 1481861,
DESSALEGN LIRE TIBEMO,Phone,+251 11 2779683,
DESSALEGN LIRE TIBEMO,Mobile,+251 91 658670,
Ziten Leather Product,Mobile,+251 911 815728,
TADDESSE MANAMO LAMBEBO,Phone,+251 11 2759120,
TADDESSE MANAMO LAMBEBO,Mobile,+251 91 1417663,
Nabe Leather Craft,Mobile,+251 911 602428,
LAREBO YASHE SHEDIMO,Phone,+251 11 3200297,
LAREBO YASHE SHEDIMO,Mobile,+251 91 412656,
SORET ABERA DANBOBA,Mobile,+251 91 1425734,
EVA LEATHER,Mobile,+251 9 11665984,
EVA LEATHER,Mobile 2,+251 9 23466712,
DEEQ HASSEN DUALE,Phone,+251 11 6262316,
DEEQ HASSEN DUALE,Mobile,+251 91 1623900,
Abysiniya Leather Garments,Phone,+251 11 5526898,
Abysiniya Leather Garments,Mobile,+251 91 1230527,
DINKNESH TEKA REDI,Phone,+251 11 6540986,
Ethio Shoe & Leather Articles Trading PLC,Phone,+251 115 550058 | +251 115 550056,
Ethio Shoe & Leather Articles Trading PLC,Mobile,+251 911 230002,
GETRAK INTERNATIONAL TRADING CO.,Phone,+251 11 5527706/07,
GETRAK INTERNATIONAL TRADING CO.,Mobile,+251 91 1228126,
TAMEYALEW ASSEFA BEKELE,Phone,+251 11 1118564,
TAMEYALEW ASSEFA BEKELE,Mobile,+251 91 1672712/1642732,
Lalina Leather& Leather Product PLC,Mobile,+251 9 11914560,
Aminat Nuru import & Export Enterprise,Phone,+251 112 782026,
Aminat Nuru import & Export Enterprise,Mobile,+251 911 401224,
Dr.Tefera Hailu Exporter,Mobile,+251 911 344820,
Shag Import Export Enterprise,Phone,"+251 11 553 7877, , 11 551 0770, 11 552 9800",
Shag Import Export Enterprise,Mobile,+251 91 120 8922,
Mahammed Abdi Mahammed Nur,Mobile,+251 911 394426,
JORDENIEN FOR DEVELOPMENT ANIMAL RESOURCE PLC,Phone,+251 11 6298111/6298223/6298217,
JORDENIEN FOR DEVELOPMENT ANIMAL RESOURCE PLC,Mobile,+251 91 1448212/13/11,
I.T.A Agro Industry PLC,Phone,+251 111 551860 | +251 111 112786,
I.T.A Agro Industry PLC,Mobile,+251 911 216976,
GIRMAY KIDANE G/AREGAY,Mobile,2200546,
IONEX PLC,Phone,+251 11 6185554/4164053,
IONEX PLC,Mobile,+251 11 1200939,
SIRAK G/AMLAK WORKALEMAHU,Phone,+251 11 6612670,
SIRAK G/AMLAK WORKALEMAHU,Mobile,+251 91 1244951/1203444,
TAKEM Agro industry,Phone,+251 115 511070,
TAKEM Agro industry,Mobile,+251 911 247555,
Ayele Tezera Livestock Fattening & Exporter,Phone,+251 114 663749 | +251 463 312836,
Ayele Tezera Livestock Fattening & Exporter,Mobile,+251 911 344977,
TEFERA HAILU W/AREGAY (Dr.),Phone,+251 11 5150122,
TEFERA HAILU W/AREGAY (Dr.),Mobile,+251 91 1344820,
Kalied Ahmed Importer & Exporter,Phone,+251 221 128231 | +251 221 128232,
Kalied Ahmed Importer & Exporter,Mobile,+251 911 220013,
BERHAN ABADI KHASAY,Phone,+251 11 1563279,
BERHAN ABADI KHASAY,Mobile,+251 91 1713009,
ABDOS TRADING,Phone,+251 11 1112786,
ABDOS TRADING,Mobile,+251 91 1207315,
Abdurahman Umer Abdi General Import & Export,Phone,+251 116 632699 | +251 116 632700,
Abdurahman Umer Abdi General Import & Export,Mobile,+251 911 406176,
AHMED ADEM IBRAHIM,Phone,+251 11 5502326,
AHMED ADEM IBRAHIM,Mobile,+251 91 1367350,
TSEGAYE MEGALE FORSIDA,Phone,+251 11 2750565,
SABA DIMENSIONAL STONES PLC,Phone,+251 11 5513102/5512598,
SABA DIMENSIONAL STONES PLC,Mobile,+251 91 1110292/1702234,
TIS ABAY INTERNATIONAL PLC,Phone,+251 11 4421045,
TIS ABAY INTERNATIONAL PLC,Mobile,+251 91 1217226,
ETHIOPIAN MARBLE PROCESSING ENTERPRISE,Phone,+251 11 4661111/46666308,
ETHIOPIAN MARBLE PROCESSING ENTERPRISE,Mobile,+251 91 1208477,
NATIONAL MINING CORPORATION PLC,Phone,+251 11 3711887,
ADO INTERNATIONAL PLC,Phone,+251 11 4400360,
ADO INTERNATIONAL PLC,Mobile,+251 91 1229701,
Gasco Trading PLC,Phone,+251 11 5513337,http://www.gascotrading.org.et
Gasco Trading PLC,Phone 2,+251 11 5531865,http://www.gascotrading.org.et
Gasco Trading PLC,Mobile,+251 91 1880772,http://www.gascotrading.org.et
Gasco Trading PLC,Mobile 2,251 92 9174474,http://www.gascotrading.org.et
Gasco Trading PLC,Mobile 3,+251 91 2038283,http://www.gascotrading.org.et
HURSO TRADING PLC,Phone,+251 11 4651449,
HURSO TRADING PLC,Mobile,+251 91 1667603,
Via Life Plc Meet Export,Phone,+251 11 6626850,
Via Life Plc Meet Export,Mobile,+251 9 11235043,
SAAFI TRADING & AGRO INDUSTRY PLC,Phone,+251 11 5513121/5513654/5513334,
SAAFI TRADING & AGRO INDUSTRY PLC,Mobile,+251 91 1203177,
ALI AHMED ALI,Phone,+251 11 1561031,
ALI AHMED ALI,Mobile,+251 911603678,
CHERINET KEBEDE MECHESSO,Mobile,+251 91 1231677,
MERID WERETA GOBYE,Phone,+251 11 6512164,
MERID WERETA GOBYE,Mobile,+251 91 1230942,
ARROW GENERAL TREADING PLC,Phone,+251 115 504018,
ARROW GENERAL TREADING PLC,Mobile,+251 911 208785,
ADEM MOHAMMED ALI,Phone,+251 11 5546608/5544866,
ADEM MOHAMMED ALI,Mobile,+251 91 1226546,
ADANE W/SENBET KILTU,Phone,+251 11 6462895,
ADANE W/SENBET KILTU,Mobile,+251 91 1201776,
ASSEFU T/HAYMANOT KAHSAY,Mobile,+251 91 1400211,
ALEM MENGISTU MELESE,Phone,+251 11 6615050,
ALEM MENGISTU MELESE,Mobile,+251 91 1208272,
MEHDI EBRAHIM,Phone,+251 11 5545936,
MEHDI EBRAHIM,Mobile,+251 91 1433040,
Labaid Trading PLC,Mobile,09-31-84-84-84,
Labaid Trading PLC,Mobile 2,09-22-42-84-00,
ARFAB ENGINEERING,Phone,+251 11 1117484,
ARFAB ENGINEERING,Mobile,+251 91 1203029,
Q-DIAGNOSTICS P.L.C,Phone,+251 11 6299080,
Q-DIAGNOSTICS P.L.C,Mobile,+251 91 1601619,
SINO-ETHIOP ASSOCIATE /AFRICA/,Phone,+251 11 4450063/4450034,
LABORA INTERNATIONAL TRADING PLC,Phone,+251 11 4665553/54/55/4160105/4672393,
LABORA INTERNATIONAL TRADING PLC,Mobile,+251 91 1202384/1636927,
EAST AFRICAN PHARMACEUTICALS PLC.,Phone,+251 11 6632903/04/6461457,
PHARMACURE PLC,Phone,+251 11 6604820/6604823,
DEMELASH MAMO  NEWAY,Mobile,+251 91 1415943,
FAKS GENERAL TRADING ENTERPRISE,Phone,+251 11 1570857,
FAKS GENERAL TRADING ENTERPRISE,Mobile,+251 91 1211858,
ENGESKO ETHIOPIA MFG&TRADING PLC,Phone,+251 11 3484518,
ENGESKO ETHIOPIA MFG&TRADING PLC,Mobile,+251 91 1647457,
GIRMA ESHETU BEYENE,Phone,+251 11 4401197,
GIRMA ESHETU BEYENE,Mobile,+251 91 1208221,
SINGIKO DANMARK ETHIOPIA PLC,Phone,+251 11 3382156,
SINGIKO DANMARK ETHIOPIA PLC,Mobile,+251 91 1236325,
BEZA INDUSTRY PLC,Phone,+251 11 2798943/2795937/2791744,
BEZA INDUSTRY PLC,Mobile,+251 91 1218532,
"Habtamu, Fiker and Friends Mineral P/S | ሃብታሙ፣ ፍቅር እና ጓ...",Mobile,+251 910 435028,
GREAT ABYSSINIA PLC,Phone,+251 11 1141414/5531199,
GREAT ABYSSINIA PLC,Mobile,+251 91 1219251,
